file_hash,new_subtype_label,states_count,clamp_yn,suffix_yn,point_process_yn,net_receive_yn,i_nonspecific_yn,not_ion_channel_yn,not_receptor_yn,has_mg_yn,volt_min,volt_max,has_include_yn,has_include_cap_yn,read_ca_i_yn,read_ca_o_yn,read_cl_i_yn,read_cl_o_yn,read_e_ca_yn,read_e_k_yn,read_e_na_yn,read_e_other_yn,read_i_cal_yn,read_i_cl_yn,read_i_k_yn,read_i_na_yn,read_i_other_yn,read_k_i_yn,read_k_o_yn,read_na_i_yn,read_na_o_yn,read_other_i_yn,read_other_o_yn,write_ca_i_yn,write_ca_o_yn,write_cl_i_yn,write_cl_o_yn,write_i_cal_yn,write_i_cl_yn,write_i_k_yn,write_i_na_yn,write_i_other_yn,write_k_i_yn,write_k_o_yn,write_na_i_yn,write_na_o_yn,write_other_i_yn,write_other_o_yn,write_unknown_yn,voltage_simfeat,v_interval1_time_to_90_max_simfeat,v_interval1_time_to_90_min_simfeat,v_interval1_time_min_to_90_max_simfeat,v_interval1_time_max_to_90_min_simfeat,v_interval1_initial_val_simfeat,v_interval1_max_val_simfeat,v_interval1_min_val_simfeat,v_interval2_time_to_90_recovery_simfeat,v_interval2_recovery_start_val_simfeat,v_interval2_final_val_simfeat,v_interval2_max_val_simfeat,v_interval2_min_val_simfeat,ik_interval1_time_to_90_max_simfeat,ik_interval1_time_to_90_min_simfeat,ik_interval1_time_min_to_90_max_simfeat,ik_interval1_time_max_to_90_min_simfeat,ik_interval1_initial_val_simfeat,ik_interval1_max_val_simfeat,ik_interval1_min_val_simfeat,ik_interval2_time_to_90_recovery_simfeat,ik_interval2_recovery_start_val_simfeat,ik_interval2_final_val_simfeat,ik_interval2_max_val_simfeat,ik_interval2_min_val_simfeat,ina_interval1_time_to_90_max_simfeat,ina_interval1_time_to_90_min_simfeat,ina_interval1_time_min_to_90_max_simfeat,ina_interval1_time_max_to_90_min_simfeat,ina_interval1_initial_val_simfeat,ina_interval1_max_val_simfeat,ina_interval1_min_val_simfeat,ina_interval2_time_to_90_recovery_simfeat,ina_interval2_recovery_start_val_simfeat,ina_interval2_final_val_simfeat,ina_interval2_max_val_simfeat,ina_interval2_min_val_simfeat,ica_interval1_time_to_90_max_simfeat,ica_interval1_time_to_90_min_simfeat,ica_interval1_time_min_to_90_max_simfeat,ica_interval1_time_max_to_90_min_simfeat,ica_interval1_initial_val_simfeat,ica_interval1_max_val_simfeat,ica_interval1_min_val_simfeat,ica_interval2_time_to_90_recovery_simfeat,ica_interval2_recovery_start_val_simfeat,ica_interval2_final_val_simfeat,ica_interval2_max_val_simfeat,ica_interval2_min_val_simfeat,rare_subtype
5bda96e93e2949e3e220b1559047b9330aff9e8f3dd0b6cf97d57b694b1e8a61,Z Neither,0,0,1,0,0,0,0,1,0,,,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
e4a9c80ab18cb727f83fdcddd39485d5c432115f1d128d19c6940a568a59aeb5,Z Neither,0,0,0,1,0,0,1,0,0,,,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5022eaf34077f083facd41ac9e8f64b89dda8d4df4def7b2cd3d83773a3241a5,I K (Rare),0,0,1,0,0,0,0,1,0,-33.90877,50.0,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0.0500000000001819,0.0,0.0500000000001819,,-65.00000055533238,9.999889003029596,-65.00000055533238,1.6500000050905328,9.727614278907588,-63.32456875400453,9.727614278907588,-63.32456875400453,6.1750000000224645,0.0,6.1750000000224645,,1.7676778754530897e-07,0.0867030678790158,1.7676778754530897e-07,1.8000000050910785,0.0867030678790158,5.605487099237589e-07,0.0867030678790158,5.605487099237589e-07,,,,,,,,,,,,,,,,,,,,,,,,,False
6c300c29d343d701c6d3c4924cde2a1801b8a9b07815d89dd0328258fdfd0fe3,I K (M-type),0,0,1,0,0,0,0,1,0,-120.0,100.0,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0,0.0500000000001819,0.0,0.0500000000001819,,-65.00000226845295,9.999981804989352,-65.00000226845295,,9.99918960002208,-54.54443942865448,9.99918960002208,-54.54443942865448,224.25000000081585,0.0250000000000909,224.22500000081573,,7.220710005365237e-07,0.0002579583226198,7.220710005365191e-07,520.6749999983808,0.0002579583250384,5.263007781308463e-06,0.0002579583274563,5.263007781308463e-06,,,,,,,,,,,,,,,,,,,,,,,,,False
4e9f637eac015a263e5b9d01d73083c2e5bcc096a117ef1e1d7c792d2cf79b98,R GABA,8,0,0,1,0,1,0,0,0,-60.0,-60.0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5f72ddf40492af116844f6dd055c728aa1ec7bf741165c27b7a25884004427bc,I Na (Transient),0,0,1,0,0,0,0,1,0,-70.0,90.0,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0,0.0500000000001819,0.0,0.0500000000001819,,-64.99854809470035,10.304216020789749,-64.99854809470035,,10.001847474842087,48.48423650196558,48.48423650196558,10.001847474842087,,,,,,,,,,,,,0.0,0.3750000000013642,2.525000000009186,0.3750000000013642,-0.0004621558106789,-0.0004621558106789,-0.0968742758246156,6.025000005106449,-0.0005880695067129,-3.315158232586539e-06,-3.315158232586539e-06,-0.0005880695067129,,,,,,,,,,,,,False
d70a9714d4593893267b7b54d6bb63ef2b0686599ee54b4be4dd1326f6ccfa81,Z Neither,0,0,0,0,1,0,1,0,0,-65.0,-50.0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
a05f26b2b4e95512285321761cfd010152b2ecaf3f9783055266639981ad4af7,I Na (Transient),0,0,1,0,0,0,0,1,0,-53.1,55.0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0.0500000000001819,0.0,0.0500000000001819,,-64.99893012307636,14.376406584919078,-64.99893012307636,,10.036383699674143,54.99999999998071,54.99999999998071,10.036383699674143,,,,,,,,,,,,,0.0,0.2000000000007276,1.025000000003729,0.2000000000007276,-0.000340552401792,-0.000340552401792,-1.3980389165304352,6.550000005108359,-0.011581291302222,-5.223290339788022e-16,-5.223290339788022e-16,-0.011581291302222,,,,,,,,,,,,,False
47daf3bb78e232f752421fe7db6929a97128b308a6db60cd05ecc0e268c7d051,I Ca (HVA),0,0,1,0,0,0,0,1,0,81.5,81.5,False,False,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0,0.0500000000001819,0.0,0.0500000000001819,,-64.99999999823214,9.99939903907616,-64.99999999823214,,9.914900257518092,1.1e-321,9.914900257518092,1.1e-321,,,,,,,,,,,,,,,,,,,,,,,,,4.275000000015552,0.0,4.275000000015552,,-5.627284114729122e-10,0.027088089343686,-5.627284114729122e-10,0.9000000050878043,0.027088089343686,0.0,0.027088089343686,0.0,False
9bc4316657bdc6ebba9be36f24df04b4d50c00060d8d333b8a63a4d9f863476a,I K (A-type),0,0,1,0,0,0,0,1,0,-56.0,-1.0,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0.0500000000001819,0.0,0.0500000000001819,,-65.00020777693582,9.999343650140458,-65.00020777693582,138.12500000394766,9.999343650140458,-75.69023664230824,9.999343650140458,-75.69023664230824,4.175000000015189,0.0,4.175000000015189,40.57500000014761,6.613745279196502e-05,0.1657155714763747,6.613745279196502e-05,189.9500000031935,0.0002089226490872,2.7134742083572005e-06,0.0013280850818622,2.7134742083572005e-06,,,,,,,,,,,,,,,,,,,,,,,,,False
