file_hash,states_count,clamp_yn,suffix_yn,point_process_yn,net_receive_yn,i_nonspecific_yn,not_ion_channel_yn,not_receptor_yn,has_mg_yn,read_ca_i_yn,read_ca_o_yn,read_cl_i_yn,read_cl_o_yn,read_e_ca_yn,read_e_k_yn,read_e_na_yn,read_e_other_yn,read_i_cal_yn,read_i_cl_yn,read_i_k_yn,read_i_na_yn,read_i_other_yn,read_k_i_yn,read_k_o_yn,read_mg_i_yn,read_mg_o_yn,read_na_i_yn,read_na_o_yn,read_other_i_yn,read_other_o_yn,read_unknown_yn,write_ca_i_yn,write_ca_o_yn,write_cl_i_yn,write_cl_o_yn,write_e_ca_yn,write_e_k_yn,write_e_na_yn,write_e_other_yn,write_i_cal_yn,write_i_cl_yn,write_i_k_yn,write_i_mg_yn,write_i_na_yn,write_i_other_yn,write_k_i_yn,write_k_o_yn,write_mg_i_yn,write_na_i_yn,write_na_o_yn,write_other_i_yn,write_other_o_yn,write_unknown_yn
0e9934372e61ee363afcb403eec3c3ecb47ff47a969c2bfb8b8ab4e0bf86686c,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85a402ec35e3b2c27c699e50f12a33893ba62c41824b5c17324211456b1e511d,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5cc03c1385abb21c08b085ee328998c3ef29fb76b3407f4f68ffe55850bb2f6b,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6e2efeabdec6eefcf5d23be8af8e3c84e412ada2f01ecdd5cdfa1aa705fff517,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76ee72be586da5954b8bfd45282c61a987513cdfe4ddd127a0326a94f944faa1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8eb4d734fab7de07267a3049d84112f949e19679e750263055e90d5383b3ebf5,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5255e819fe3ca098687d607e4ddf4c3c5c0e415f21b1ef8f60f420ee3c9bf9af,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1eb9f62f592115967bb9d3c1e99679339273c0eafa89bda09af1dcfae7c81037,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123e4283498a834dd9a539b3cf8789fd6aa4c4d4e3f754827b37753d77e1ccd9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71cd8b8c5229904744b2ee986f01a9c59996cfd3beb95c9d50979223a3e4c219,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
